file_name,label_kor,label_eng
000502,물이 있는 모던하고 깔끔한 배경에 화장품이 놓여있다.,Cosmetics are placed in a modern and neat background with water.
000503,"모던하고 깔끔한 초록색, 흰색 배경에 화장품이 놓여있다.","Cosmetics are placed on a modern, neat green and white background."
000504,차분하고 깔끔한 흰색과 회색 배경에 전동면도기가 놓여있다.,"Electric razors are placed on a calm, neat white and gray background."
000505,모던하고 깔끔한 갈색과 분홍색 돌 질감의 배경에 화장품이 놓여있다,"Cosmetics are placed in the background of a modern, neat brown and pink stone"
000506,나무와 물이 있는 모던하고 자연적인 빨강색과 갈색 배경 위에 화장품이 놓여있다.,"Cosmetics are placed on a modern, natural red and brown background with trees and water."
000507,자연적이고 깔끔한 갈색 또는 베이지색 나무 질감의 배경 위 식품이 놓여있다.,"Food is placed in a natural, neat brown or beige woody background."
000508,물이 있는 깔끔한 보라색 밝은 배경 위 전자제품이 놓여있다.,"Electronics are placed on a neat purple, bright background with water."
000601,깔끔한 분홍색 배경 위 방향제가 놓여있다.,There is an air freshener on a neat pink background.
000602,청량한 흰색 또는 하늘색 타일과 나무가 있는 배경 위 화장품이 놓여있다.,Cosmetics are placed in the background with refreshing white or sky blue tiles and trees.
000603,모던하고 깔끔한 흰색 밝은 배경 위 전자제품이 놓여있다.,"Electronics are placed on a modern, neat white, bright background."
000604,모던하고 신비로운 분위기의 은하수를 배경으로 향수가 놓여있다.,Perfume is placed against the backdrop of a modern and mysterious galaxy.
000605,자연적이고 신비로운 보라색 또는 노랑색 하늘을 배경으로 향수가 놓여있다.,Perfume is placed against a natural and mysterious purple or yellow sky.
000606,자연적이며 검은색 또는 갈색 바위 질감의 배경 위 화장품이 놓여있다.,"Cosmetics are placed on a natural, black or brown rock texture background."
000607,자연적이고 어둡고 신비로운 검은색 돌 질감의 배경 위 향수가 놓여있다.,"There is a perfume on the background of a natural, dark, mysterious black stone."
000701,"깔끔하며 흰색, 하늘색 타일이 있는 밝은 배경 위 화장품이 놓여있다.",There are cosmetics on a bright background with neat white and sky blue tiles.
000702,물이 있는 청량하며 여름 분위기의 밝은 배경에 화장품이 놓여있다.,Cosmetics are placed on a bright background of a refreshing summer atmosphere with water.
000703,흰색 또는 베이지색의 편안하고 깔끔한 밝은 배경을 바탕으로 신발이 놓여있다.,"Shoes are placed based on a comfortable, neat, bright background of white or beige."
000704,베이지 또는 귤색의 모던하고 깔끔한 밝은 배경을 바탕으로 화장품이 놓여있다.,Cosmetics are placed based on a beige or tangerine-colored modern and neat bright background.
000705,나무와 물이 있는 청량하고 여름 분위기의 하늘색 또는 연갈색 밝은 배경에 화장품이 놓여있다.,Cosmetics are placed on a light blue or light brown background with a refreshing summer atmosphere with trees and water.
000706,모던하고 깔끔한 분홍색 또는 흰색 밝은 배경에 화장품이 놓여있다.,"Cosmetics are placed on a modern, neat pink or white bright background."
000801,모던한 회색 돌 질감의 어두운 배경에 화장품이 놓여있다.,Cosmetics are placed in a dark background with a modern gray stone texture.
000802,투명하고 깔끔한 유리 질감의 밝은 배경에 치약이 놓여있다.,Toothpaste is placed on a bright background with a transparent and neat glass texture.
000803,회색 또는 검은색의 깔끔하고 어두운 배경에 화장품이 놓여있다.,"Cosmetics are placed on a neat, dark background of grey or black."
000804,보라색 또는 하늘색 유리 질감의 모던하고 밝은 배경에 화장품이 놓여있다.,Cosmetics are placed on a modern and bright background with a purple or sky blue glass texture.
000805,깔끔한 보라색 또는 주황색의 밝은 배경에 건강식품이 놓여있다.,Healthy food is placed on a clean purple or orange bright background.
000806,모던한 회색 배경에 화장품이 놓여있다.,Cosmetics are placed on a modern gray background.
000901,물이 있고 투명하고 청량한 여름 분위기의 흰색 또는 하늘색 밝은 배경에 화장품이 놓여있다.,Cosmetics are placed on a white or sky blue bright background with water and a transparent and refreshing summer atmosphere.
000902,따뜻하고 일상적인 분위기의 주황색 또는 녹색 어두운 배경에 화장품이 놓여있다.,"Cosmetics are placed on a warm, everyday orange or green dark background."
000903,청량하며 분홍색 또는 흰색의 밝은 배경에 꽃이 있다.,There are flowers on a bright pink or white background that are white background.
000904,깔끔하며 베이지 또는 청록색의 밝은 배경에 화장품이 놓여있다.,"Cosmetics are placed on a neat, beige or turquoise bright background."
001100,파란색과 핑크색이 알록달록하게 어우러져 있는 운동화가 파란색과 핑크색이 섞여 있는 비닐 위에 정면으로 놓여져 있다.,Sneakers with colorful blue and pink colors are placed squarely on vinyl mixed with blue and pink.
001101,풀과 바위가 있는 편안한 분위기에 흰색 운동화가 옆면으로 공중에 떠있다.,White sneakers float in the air on the side in a comfortable atmosphere with grass and rocks.
001102,"신비로운 분위기의 나무 위에 초록색 잔디가 조금 심어져 있고, 그 위로 흰색 운동화가 옆면으로 세워져 있다. ","A little green grass is planted on the mysterious tree, and white sneakers are erected on the side."
001103,흰색 배경 아래 흰색 운동화가 옆면으로 놓여 있다. ,White sneakers are placed on the sides under a white background.
001104,엔틱한 분위기에 갈색 가구에 갈색 운동화가 옆면으로 비스듬히 세워져있다. ,"In an antique atmosphere, brown furniture and brown sneakers stand obliquely on the side."
001105,코르크 재질의 갈색 배경에 검은색과 하얀색 체크무늬 운동화가 전시되어 있다.,Black and white checkered sneakers are displayed on a brown background made of cork.
001106,깔끔하고 모던한 베이지 배경에 흰색 운동화가 옆면으로 놓여 있다. ,White sneakers are placed on the side against a neat and modern beige background.
001200,흰색 자갈와 깔끔한 흰색 배경 아래 검은색 운동화가 옆면으로 놓여 있다.,White gravel and black sneakers are placed on the sides under a neat white background.
001201,핑크색 하늘과 녹색 잔디 위에 운동화가 기울어져 세워져있다.,Sneakers are leaning against the pink sky and green grass.
001202,푸르른 하늘 풍경에 검은색 운동화가 둥둥 떠있다.,Black sneakers are floating in the blue sky scenery.
001203,핑크색 풍경에 구름이 있는 마법같은 배경에 운동화가 옆면으로 세워져 있다.,Sneakers are flanked by a magical background with clouds in the pink landscape.
001204,풀과 나무 위에 회색 운동화가 옆면으로 놓여져 있다. ,Gray sneakers are flanked on grass and trees.
001205,회색의 단색 배경에 회색 운동화가 옆면으로 놓여 있다. ,Gray sneakers are placed on the side against a solid gray background.
001300,핑크색 물감 배경에 핑크색 향수가 놓여져 있다. ,Pink perfume is placed on the background of pink paint.
001301,핑크색 바디워시가 핑크색 욕실에 정면으로 놓여져 있다. ,A pink body wash is placed in front of the pink bathroom.
001400,바다에 있는 검은색 바위 위에 에어팟이 뚜껑이 열린 채로 올려져 있다.,AirPods are placed on black rocks in the sea with their lids open.
001500,빨간색 신발이 빨간색의 강렬한 배경 앞에 세워져 있다. ,Red shoes stand in front of a strong red background.
001501,엔틱한 가방이 창에 드는 햇빛 아래 탁상 위에 정면으로 놓여져 있다.,An antique bag is placed squarely on the table in the sunlight in the window.
001502,향수가 무드있는 분위기의 어두운 배경 아래 꽃잎과 함께 놓여져 있다.,The perfume is placed with petals under a dark background with a moody atmosphere.
001503,맥주캔이 모래사장에 파묻혀 있다.,A beer can is buried in the sand.
001505,샌들이 수영장 옆에 정면으로 놓여져 있다. ,Sandals are placed squarely next to the pool.
001700,구름이 떠있는 하늘 아래 화장품이 벽 위에 세워져 있다. ,Cosmetics are standing on the wall under the cloudy sky.
001703,고급스러운 핸드백이 엔틱한 분위기의 천과 쇼파 위에 세워져 있다.,Luxurious handbags stand on antique fabrics and sofa.
001704,해질녘 바다의 풍경 앞에 마스카라가 정면으로 세워져 있다.,Mascara stands in front of the scenery of the sea at sunset.
001706,동화같은 풍경에 핸드백이 정면으로 세워져 있다.,The handbag stands squarely in a fairy tale landscape.
001800,핑크색 천 위에 화장품 2개가 누워있다.,There are two cosmetics lying on the pink cloth.
001801,나무와 이끼 위에 보드카가 기울어진 채 비스듬히 놓여져 있다. ,Vodka is slanted on trees and moss.
001803,선글라스가 깔끔한 이미지의 배경에 놓여져 있다.,The sunglasses are placed in the background of a neat image.
001804,선글라스가 하얀색 배경에 세로로 놓여져있다.,The sunglasses are placed vertically against a white background.
001900,자동차가 건물 앞에 멋있는 각도로 서있다.,The car is standing at a nice angle in front of the building.
001901,자동차가 강렬한 포스를 품기며 건물 내부를 들어오고 있다.,The car is entering the building with a strong force.
002000,연한 색의 모래사장 위에 검은색의 세련된 가죽 가방이 놓여있다.,A stylish black leather bag is placed on a light sandy beach.
002001,분홍색 배경을 바탕으로 파란색 물감이 칠해진 곳에 베이지색 가죽 핸드백이 놓여있다.,A beige leather handbag is placed on a place with blue paint based on a pink background.
002002,모래사장과 하늘이 보이는 지평선을 배경으로 브라운색의 가죽가방이 정면으로 놓여있다.,A brown leather bag is placed in front against the backdrop of the sandy beach and the horizon where the sky is visible.
002003,하늘색을 배경으로 골드와 다크브라운이 잘 조합된 무늬의 핸드백이 정면으로 놓여있다.,A handbag with a pattern that combines gold and dark brown against a sky blue background is placed in front.
002004,베이지색의 바닥과 하늘을 배경으로 금과 보석으로 치장된 목걸이 한 쌍이 정면으로 놓여있다.,A pair of necklaces adorned with gold and jewels against the beige floor and sky are placed in front.
002100,분홍과 연노랑으로 빛나는 유리 재질의 테이블 위에 밝은 베이지색 스니커즈가 놓여있다.,Light beige sneakers are placed on a glass table that shines pink and light yellow.
002101,그레이 색상의 소파와 화분이 있는 차분한 색상 배경에 흰색 캐주얼 보트 슈즈가 놓여있다.,White casual boat shoes are placed on a calm background with a gray sofa and pot.
002102,베이지 색상의 나무 질감의 배경 위에 베이지 색상의 구두 힐이 놓여있다.,Beige shoe heels are placed on the background of the beige wood texture.
002103,흰색 자갈밭을 배경으로 편안한 느낌의 나무 벤치 위에 흰색 로퍼가 놓여있다.,A white rope is placed on a comfortable wooden bench against a white gravel field.
002104,밝은 흰색 배경 위 얼음 조각이 놓여있어 청량하고 깔끔한 느낌을 주며 그 중앙에 네이비 색상의 로퍼가 놓여있다.,"A piece of ice is placed on a bright white background, giving a refreshing and neat feeling, and a navy-colored roller is placed in the center."
002200,은은한 조명 속 갈색 나무 테이블 위에 짙은 녹색 표지의 책이 놓여있어 편안하고 안락한 느낌을 준다.,"A book with a dark green cover is placed on a brown wooden table in subtle lighting, giving a comfortable and comfortable feeling."
002201,분홍색 배경 위 흰색 솜이 놓여있는 부분에 화장품이 놓여있다.,Cosmetics are placed in the area where white cotton is placed on the pink background.
002202,은은한 조명의 노란색 나무 테이블과 흰색 커튼을 배경으로 캔들이 놓여있어 편안하고 안락한 느낌을 준다.,"Candles are placed against the backdrop of a subtly lit yellow wooden table and white curtains, giving a comfortable and comfortable feeling."
002203,베이지색 나무 질감의 배경과 흰색 화분에 다육식물이 심어져 있고 그 위에 귀여운 장식품이 놓여있다.,"The background of the beige wood texture and succulent plants are planted in white pots, and cute decorations are placed on top of them."
002204,흰색과 은은한 보라색 배경 위에 귀엽게 생긴 목걸이가 정면으로 보인다.,A cute-looking necklace looks straight ahead on a white and subtle purple background.
002300,보랓빛과 분홍빛의 오묘한 색상의 하늘을 배경으로 그 배경과 비슷한 색의 에어팟 케이스가 놓여있다.,"With the mysterious purple and pink sky in the background, there is an AirPod case similar to the background."
002301,연두색을 배경으로 회색 벽돌도 들어올릴 수 있을 만큼 강력한 그립톡이 보인다.,"With a light green background, you can see a strong grip to lift gray bricks."
002302,흰색 정육면체 위에 보라색과 초록색의 그라데이션을 배경으로 검은색 디지털 카메라가 정면으로 보인다.,A black digital camera looks straight ahead against the backdrop of purple and green gradations on a white cube.
002303,회색과 검은색을 배경으로 스틸 네이비 색상의 스마트폰이 시크한 무드를 뽐내고 있다.,"With gray and black background, steel navy-colored smartphones are showing off a chic mood."
002304,흰색 타일을 배경으로 짙은 색상의 정육면체 모양의 어댑터가 놓여있다.,A dark cube-shaped adapter is placed against a white tile.
002400,"갈색 책, 나무 테이블, 탁자 시계 그리고 흰색 배경과 식물을 배경으로 아날로그한 느낌의 디지털 카메라가 놓여있다.","There are brown books, wooden tables, table clocks, and analog-like digital cameras with white backgrounds and plant backgrounds."
002401,나무테이블에 고급스러운 케이터링과 와인이 놓여있고 흰색 디지털 카메라가 놓여있다.,"There are luxurious catering and wine on the wooden table, and a white digital camera."
002402,파란색과 네이비색 배경으로 밝은 브라운색 디지털 카메라가 놓여있다.,A bright brown digital camera is placed against a blue and navy background.
002403,파란색과 하늘색 벽지에 스티커가 알록달록하게 붙어있고 하늘색 필름카메라가 정면으로 놓여있다.,"There are colorful stickers on blue and sky blue wallpaper, and sky blue film cameras are placed in front of you."
002500,흰색과 투명한 색상의 욕실을 배경으로 하늘색 화장품이 놓여있어 투명한 느낌을 주고 있다.,"Sky blue cosmetics are placed against the background of the white and transparent bathroom, giving a transparent feeling."
002501,나무테이블과 화분이 놓여있는 어두운 배경 위에  방향제가 놓여있어 차분한 느낌을 준다.,"Air fresheners are placed on a dark background where wooden tables and pots are placed, giving a calm feeling."
002502,어두운 회색 벽면을 배경으로 화분을 비추는 작은 조명이 은은하게 빛나고 있어 차분한 인상을 준다.,Small lights that illuminate the pot against the dark gray wall give a calm impression.
002503,갈색 나무테이블과 흰색 벽면을 배경으로 화분을 비추는 작은 조명이 은은하게 빛나고 있다.,Small lights that illuminate the pot against the background of a brown wooden table and a white wall shine subtly.
002504,흰색 원형 탁자와 베이지색 벽면을 배경으로 밝은 빛이 베이지색 방향제를 비추고 있다.,A bright light shines on the beige air freshener against the white circular table and beige wall.
002600,흰색 벽면을 배경으로 원목 테이블 위에 심플한 디자인의 작은 스탠드가 놓여있다.,A small stand with a simple design is placed on a wooden table against a white wall.
002601,"흰색, 또는 회색 테이블이 있고 갈색 화분이 옆에 놓인 채 원형의 조명이 놓여있다.",There is a white or gray table and a round light with a brown pot next to it.
002602,분홍색과 연두색의 심플한 배경으로 분홍색 직육면체 라디오가 놓여있다.,"With a simple pink and light green background, there is a pink rectangular radio."
002603,"나무테이블과 흰색 배경, 그리고 나무를 뒤로 한 채 그림자가 져있어 차분하고 평화로운 느낌을 주고 있다.","It has a wooden table, a white background, and a shadow with a tree behind it, giving a calm and peaceful feeling."
002604,밝은 색상의 나무 테이블과 유리 컵이 놓여있고 그 배경으로 노란색 전자 탁자시계가 놓여있다.,"A bright wooden table and glass cup are placed, and a yellow electronic table clock is placed in the background."
003100,베이지색 돌 질감의 바닥과 이와 대비되는 짙은 색의 물이 흐르는 배경 위에 화장품이 놓여있다.,Cosmetics are placed on a beige stone floor and a contrasting dark water flowing background.
003101,"옅은 분홍색, 그리고 검은색을 배경으로 마스카라가 대각선으로 놓여있다.",Mascara is placed diagonally against a light pink and black background.
003200,짙은 자주색 꽃과 이와 대비되는 밝은 하늘색을 배경으로 사파이어가 달려있고 눈꽃 모양으로 정교하게 세공되어 있는 귀걸이 한쌍이 정면으로 놓여있다.,"With dark purple flowers and a contrasting bright sky blue background, sapphire is attached, and a pair of finely crafted earrings are placed in the shape of snowflakes."
003201,어두운 네이비 배경으로 보석 목걸이가 밝게 빛나고 있다.,The jewelry necklace is shining brightly against a dark navy background.
003202,나무 바닥과 흰색 벽을 배경으로 갈색 피케 셔츠와 흰색 스니커즈 그리고 테니스 라켓이 테니스 공과 함께 놓여있다.,"A brown pique shirt, white sneakers, and a tennis racket are placed with a tennis ball against a wooden floor and white wall."
003203,은은한 조명을 배경으로 검은색 불투명한 테이블 위에 베이지색 스니커즈가 놓여있다.,Beige sneakers are placed on a black opaque table against a subtle light.
003204,붉은 석양이 비추는 바다를 배경으로 돌바닥 위에 향수가 놓여있다.,Perfume is placed on the stone floor against the backdrop of the sea with a red sunset.
003205,무채색의 기하학적인 배경 위에 정교한 손목시계가 정면으로 놓여있다.,A sophisticated wristwatch is placed squarely on an achromatic geometric background.
003300,짙고 푸른 색상의 물 위에 하얀색 플립플랍이 둥둥 떠있다.,White flip flops float on deep blue water.
003301,하늘색 수영장과 베이지색 돌바닥이 배경을 절반씩 차지하고 있고 그 위에 하늘색 플립플랍이 놓여있다.,"The sky blue swimming pool and beige stone floor occupy half the background, and a sky blue flip-flop is placed on top of it."
003302,회색 현무암과 밝은 녹색 잔디 위에 옅은 그린 색상의 플립플랍 한 짝이 놓여있다.,A pair of light green flip flops are placed on gray basalt and bright green grass.
003303,짙은 나무 테이블 위에 색깔이 바랜 푸른 벽을 배경으로 흰색 플립플랍이 놓여있다.,A white flip-flop is placed on a dark wooden table against a faded blue wall.
003304,청록색 타일 바닥과 밀짚 탁자 위에 연보라색의 플립플랍이 놓여있다.,A light purple flip-flop is placed on a turquoise tile floor and a straw table.
003400,짙은 붉은색을 배경으로 샤넬 립스틱이 정면으로 놓여있어 강렬하고 우아한 느낌을 자아낸다.,"Chanel lipstick is placed in front of the dark red background, creating an intense and elegant feeling."
003401,"어두운 네이비, 또는 보라색을 배경으로 아름다운 무늬로 장식된 찻잔 2개가 놓여있다.",There are two teacups decorated with beautiful patterns against a dark navy or purple background.
003402,짙은 터키색 벽과 흰색 바닥이 강렬한 대비를 이루고 있고 사진 중앙에 회색 텀블러와 꽃 한송이가 나란히 놓인 채 그림자를 드리우고 있다.,"The dark Turkish wall and white floor form a strong contrast, and a gray tumbler and a flower are placed side by side in the center of the picture."
003403,해변가의 암석 위에 흰색 화장품이 클로즈업되어 있다.,There is a close-up of white cosmetics on the rocks along the beach.
003500,"검은색 배경 위 솔방울, 소나무 잎, 무화과, 나방 등 각종 자연물이 장식을 이루고 있고 그 한가운데 향수가 정면으로 놓여있다.","Various natural objects such as pine cones, pine leaves, figs, and moths on the black background are decorated, and perfumes are placed in front of them."
003501,"검은색 배경 위 월계수 잎과 타임, 로즈마리, 애플민트, 자몽, 나비 등 각종 자연물이 장식을 이루고 있고 그 한가운데 향수가 정면으로 놓여있다.","The bay leaves above the black background and various natural objects such as thyme, rosemary, apple mint, grapefruit, and butterflies are decorated, and perfume is placed in the center."
003502,어느 가을 흐린 날 무채색에 가까운 호수를 배경으로 밝은 색상의 대비되는 노란 화분이 놓여있다.,A bright contrasting yellow pot is placed against the backdrop of a lake close to achromatic color on a cloudy day in autumn.
003503,밝게 빛이 산란되고 있는 베이지색을 배경으로 향수가 보석처럼 빛나고 있다.,"The perfume shines like a jewel against the backdrop of beige, which is scattering light brightly."
003504,"흰색 테이블보, 거울, 그리고 화분이 차분하고 어두운 조명 속에 놓여있는 가운데 향수가 맨 앞에 놓여있다.","A white tablecloth, a mirror, and a flowerpot are placed in the middle of a calm, dark light, with perfume at the front."
003505,옅은 녹색을 띠는 불투명한 거울 위에 향수가 놓여있어 차분한 느낌을 준다.,"Perfume is placed on an opaque mirror with a light green color, giving a calm feeling."
003506,어두운 배경 속 거울과 식물이 보이고 금속 재질의 테이블 위에 향수가 놓여있다.,You can see mirrors and plants in a dark background and perfume is placed on a metal table.
003600,모래 질감의 바위 위에 석양을 배경으로 화장품이 정면으로 놓여있다.,Cosmetics are placed in front of the sunset on a sand-textured rock.
003601,"바다를 배경으로 돌 위에 물이 투명하게 빛나고 있고, 다양한 색상의 비누 여러 개가 아침 햇살 속에 밝게 빛나고 있다.","Water is shining transparently on the rocks against the backdrop of the sea, and several soaps of various colors are shining brightly in the morning sun."
003602,"짙은 노랑, 또는 밝은 브라운 색상의 단순한 밝은 배경에 향수가 놓여있다.",Perfume is placed on a simple bright background of dark yellow or light brown.
003603,"흰색 배경, 그리고 나무 질감의 폭이 좁은 막대 위에 화장품이 놓여있다.","A white background, and cosmetics are placed on a narrow wooden bar."
003700,"나무 질감의 짙은 색 바닥, 그리고 밀짚 바구니 안에 검은색 샴푸가 들어있다.","A dark wooden floor, and black shampoo in a straw basket."
003701,"나무 질감의 밝은 의자 팔걸이 위에 화장품이 놓여있고, 배경에는 노란 꽃이 있는 화분과 회색 벽이 있다.","Cosmetics are placed on the armrest of a bright wooden chair, and in the background is a flowerpot with yellow flowers and a gray wall."
003702,"밝게 빛이 비추는 회색 대리석 배경 위로 알루미늄 재질의 텀블러가 있고, 창틀이 드리우는 그림자가 벽에 보이고 있다.","There is an aluminum tumbler over the bright gray marble background, and the shadow of the window frame is seen on the wall."
003703,어두운 밤 밝게 빛나는 보라색의 신비로운 수풀 속 붉은 서랍이 놓여있다.,There is a red drawer in the mysterious purple bushes shining brightly on a dark night.
003704,흰색의 깨끗한 천 위에 녹색 화장품이 나란히 놓여있다.,Green cosmetics are placed side by side on a clean white cloth.
003800,어두운 흰색 방 속 오른편에 원형 대리석 테이블이 있고 그 위에 미니멀한 디자인의 조명이 은은히 빛나고 있다.,"There is a round marble table on the right side of the dark white room, and the minimal design lights are shining on top of it."
003801,밝고 깔끔한 방 속 탁자 위 스탠드와 유리병이 놓여있고 밝은 햇살이 비추어 평화로운 분위기를 빚어내고 있다.,"There are stands and glass bottles on the table in a bright and neat room, and the bright sunlight shines to create a peaceful atmosphere."
003802,붉은 색을 띠는 고풍스러운 나무 선반 위에 환한 촛불이 유리 속에 타오르고 있다.,"A bright candle is burning in the glass on a red, antique wooden shelf."
003803,흰색 바닥과 짙은 파란색 커튼이 대비를 이루는 가운데 키보드가 놓여있다.,A keyboard is placed in the middle of a contrast between a white floor and a dark blue curtain.
